polygon_id,city,locality,rule_category,year_from,year_to,confidence,area_m2,latitude,longitude
1,Delhi,Unassigned,New Buildings,2020,2021,0.98,7050.0,28.43183,77.136044
2,Delhi,Unassigned,New Buildings,2020,2021,0.98,2950.0,28.433,77.128069
3,Delhi,Unassigned,Vegetation Change,2020,2021,0.98,7950.0,28.439476,77.134772
4,Delhi,Unassigned,Agricultural / Land-use Change,2020,2021,0.835,3000.0,28.443188,77.128836
5,Delhi,Unassigned,New Buildings,2020,2021,0.98,9250.0,28.442916,77.139278
6,Delhi,Unassigned,Water Body Change,2020,2021,0.98,15000.0,28.45321,77.103751
7,Delhi,Unassigned,Water Body Change,2020,2021,0.98,4750.0,28.455461,77.104189
8,Delhi,Unassigned,Water Body Change,2020,2021,0.98,17600.0,28.457409,77.107066
9,Delhi,Unassigned,New Buildings,2020,2021,0.98,2700.0,28.460481,77.136577
10,Delhi,Unassigned,New Buildings,2020,2021,0.98,3550.0,28.471213,77.032148
11,Delhi,Unassigned,Vegetation Change,2020,2021,0.98,5200.0,28.471907,77.14133
12,Delhi,Unassigned,Water Body Change,2020,2021,0.98,3100.0,28.475952,77.130641
13,Delhi,Unassigned,Water Body Change,2020,2021,0.98,4900.0,28.47905,76.998548
14,Delhi,Unassigned,Vegetation Change,2020,2021,0.98,8200.0,28.476879,77.137401
15,Delhi,Unassigned,New Buildings,2020,2021,0.98,3950.0,28.47797,77.106956
16,Delhi,Unassigned,Water Body Change,2020,2021,0.98,4200.0,28.479762,76.997069
17,Delhi,Unassigned,Agricultural / Land-use Change,2020,2021,0.835,5200.0,28.478742,77.101678
18,Delhi,Unassigned,New Buildings,2020,2021,0.98,25900.0,28.478825,77.142303
19,Delhi,Unassigned,New Buildings,2020,2021,0.98,14500.0,28.481309,77.141972
20,Delhi,Unassigned,Water Body Change,2020,2021,0.98,2950.0,28.483637,77.02664
21,Delhi,Unassigned,New Buildings,2020,2021,0.98,7200.0,28.484678,76.98126
22,Delhi,Unassigned,Agricultural / Land-use Change,2020,2021,0.835,18200.0,28.482254,77.130519
23,Delhi,Unassigned,New Buildings,2020,2021,0.98,17400.0,28.48474,76.984987
24,Delhi,Unassigned,New Roads,2020,2021,0.817,2600.0,28.483696,77.132464
25,Delhi,Unassigned,Agricultural / Land-use Change,2020,2021,0.835,6100.0,28.48445,77.132135
26,Delhi,Unassigned,Agricultural / Land-use Change,2020,2021,0.835,14500.0,28.48748,76.971398
27,Delhi,Unassigned,New Buildings,2020,2021,0.98,4200.0,28.487524,77.014716
28,Delhi,Unassigned,Water Body Change,2020,2021,0.98,7050.0,28.488966,76.966326
29,Delhi,Unassigned,New Buildings,2020,2021,0.98,2500.0,28.48955,76.984873
30,Delhi,Unassigned,New Buildings,2020,2021,0.98,9950.0,28.489193,76.992901
31,Delhi,Unassigned,New Buildings,2020,2021,0.98,3200.0,28.489871,76.980066
32,Delhi,Unassigned,New Buildings,2020,2021,0.98,3600.0,28.490315,76.970485
33,Delhi,Unassigned,New Buildings,2020,2021,0.98,9300.0,28.488049,77.129748
